SID,SEASON,NUMBER,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES,WMO_AGENCY,TRACK_TYPE,DIST2LAND,LANDFALL,IFLAG,STORM_SPEED,STORM_DIR
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/13/2017 0:00,NR,11,112.5, , , ,main,363,346,O_____________,4,327
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/13/2017 3:00,NR,11.195,112.358, , , ,main,346,323,P_____________,4,316
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/13/2017 6:00,NR,11.3,112.2, , , ,main,323,312,O_____________,2,260
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/13/2017 9:00,NR,11.1525,112.107, , , ,main,315,311,P_____________,4,206
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/13/2017 12:00,NR,10.9,112, , , ,main,315,304,O_____________,6,212
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/13/2017 15:00,NR,10.685,111.815, , , ,main,304,294,P_____________,6,225
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/13/2017 18:00,TS,10.5,111.6, , , ,main,294,280,O_____________,5,235
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/13/2017 21:00,TS,10.3925,111.385, , , ,main,280,268,P_____________,4,243
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/14/2017 0:00,TS,10.3,111.2, , , ,main,268,265,O_____________,4,232
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/14/2017 3:00,TS,10.165,111.093, , , ,main,265,262,P_____________,4,213
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/14/2017 6:00,TS,10,111, , , ,main,269,267,O_____________,4,209
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/14/2017 9:00,TS,9.79244,110.888, , , ,main,274,273,P_____________,5,216
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/14/2017 12:00,TS,9.6,110.7, , , ,main,274,262,O_____________,6,238
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/14/2017 15:00,TS,9.46262,110.342, , , ,main,255,246,P_____________,7,254
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/14/2017 18:00,NR,9.4,110, , , ,main,246,240,O_____________,5,266
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/14/2017 21:00,NR,9.42742,109.878, , , ,main,240,225,P_____________,2,297
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/15/2017 0:00,NR,9.5,109.8, , , ,main,225,203,O_____________,3,298
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/15/2017 3:00,NR,9.56501,109.615, , , ,main,203,188,P_____________,4,284
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/15/2017 6:00,NR,9.6,109.4, , , ,main,188,175,O_____________,4,271
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/15/2017 9:00,NR,9.57244,109.223, , , ,main,175,173,P_____________,4,256
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/15/2017 12:00,NR,9.5,109, , , ,main,173,160,O_____________,6,253
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/15/2017 15:00,NR,9.4075,108.68, , , ,main,164,155,P_____________,7,254
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/15/2017 18:00,NR,9.3,108.3, , , ,main,160,149,O_____________,8,255
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/15/2017 21:00,NR,9.19758,107.902, , , ,main,149,119,P_____________,8,256
2017008N08128,2017,1,WP,MM,NOT_NAMED,1/16/2017 0:00,NR,9.1,107.5, , , ,main,119, ,O_____________,8,256
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/25/2017 12:00,NR,-16,126.6, , , ,main,0,0,O_____________,7,254
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/25/2017 15:00,NR,-16.0949,126.245, , , ,main,0,0,P_____________,8,255
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/25/2017 18:00,NR,-16.2,125.8, , , ,main,0,0,O_____________,10,257
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/25/2017 21:00,NR,-16.3277,125.215, , , ,main,0,0,P_____________,12,255
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/26/2017 0:00,NR,-16.5,124.6, , , ,main,0,0,O_____________,11,247
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/26/2017 3:00,NR,-16.7644,124.13, , , ,main,0,0,P_____________,11,242
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/26/2017 6:00,TS,-17,123.6, , , ,main,15,0,O_____________,13,257
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/26/2017 9:00,TS,-17.0657,122.785, , , ,main,0,0,P_____________,15,266
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/26/2017 12:00,TS,-17.1,122, , , ,main,30,30,O_____________,12,262
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/26/2017 15:00,TS,-17.2268,121.555, , , ,main,64,64,P_____________,8,249
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/26/2017 18:00,TS,-17.4,121.2, , , ,main,98,98,O_____________,9,245
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/26/2017 21:00,TS,-17.5848,120.737, , , ,main,148,148,P_____________,10,247
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/27/2017 0:00,TS,-17.8,120.2, , , ,main,181,181,O_____________,12,248
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/27/2017 3:00,TS,-18.035,119.572, , , ,main,221,201,P_____________,13,248
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/27/2017 6:00,TS,-18.3,118.9, , , ,main,202,187,O_____________,14,246
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/27/2017 9:00,TS,-18.5924,118.242, , , ,main,192,172,P_____________,14,244
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/27/2017 12:00,TS,-18.9,117.6, , , ,main,175,159,O_____________,13,243
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/27/2017 15:00,TS,-19.1844,117.022, , , ,main,157,124,P_____________,13,242
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/27/2017 18:00,TS,-19.5,116.4, , , ,main,126,115,O_____________,15,240
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/27/2017 21:00,TS,-19.9298,115.646, , , ,main,128,118,P_____________,17,242
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/28/2017 0:00,TS,-20.3,114.8, , , ,main,144,144,O_____________,17,251
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/28/2017 3:00,TS,-20.4902,113.885, , , ,main,156,156,P_____________,17,263
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/28/2017 6:00,TS,-20.5,113, , , ,main,187,187,O_____________,16,276
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/28/2017 9:00,TS,-20.3373,112.224, , , ,main,258,258,P_____________,14,287
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/28/2017 12:00,TS,-20.1,111.6, , , ,main,320,320,O_____________,11,291
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/28/2017 15:00,TS,-19.9421,111.148, , , ,main,375,375,P_____________,8,292
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/28/2017 18:00,TS,-19.8,110.8, , , ,main,407,407,O_____________,7,294
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/28/2017 21:00,TS,-19.6425,110.428, , , ,main,454,454,P_____________,7,294
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/29/2017 0:00,TS,-19.5,110.1, , , ,main,486,486,O_____________,6,299
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/29/2017 3:00,TS,-19.3318,109.826, , , ,main,524,524,P_____________,5,293
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/29/2017 6:00,TS,-19.3,109.6, , , ,main,542,536,O_____________,4,247
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/29/2017 9:00,TS,-19.5,109.4, , , ,main,548,548,O_____________,8,285
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/29/2017 12:00,TS,-19.1,108.8, , , ,main,625,625,O_____________,11,297
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/29/2017 15:00,TS,-18.9975,108.353, , , ,main,667,667,P_____________,8,270
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/29/2017 18:00,TS,-19.1,108, , , ,main,698,698,O_____________,7,252
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/29/2017 21:00,TS,-19.2047,107.665, , , ,main,721,721,P_____________,7,246
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/30/2017 0:00,TS,-19.4,107.3, , , ,main,745,745,O_____________,9,239
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/30/2017 3:00,TS,-19.685,106.83, , , ,main,775,775,P_____________,11,237
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/30/2017 6:00,TS,-20,106.3, , , ,main,809,809,O_____________,12,240
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/30/2017 9:00,TS,-20.2726,105.735, , , ,main,856,856,P_____________,11,244
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/30/2017 12:00,TS,-20.5,105.2, , , ,main,899,899,O_____________,10,246
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/30/2017 15:00,TS,-20.6647,104.785, , , ,main,933,933,P_____________,8,248
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/30/2017 18:00,NR,-20.8,104.4, , , ,main,971,971,O_____________,8,249
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/30/2017 21:00,NR,-20.9574,103.958, , , ,main,1006,1006,P_____________,9,250
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/31/2017 0:00,NR,-21.1,103.5, , , ,main,1055,1055,O_____________,8,253
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/31/2017 3:00,NR,-21.1995,103.087, , , ,main,1093,1093,P_____________,9,257
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/31/2017 6:00,NR,-21.3,102.6, , , ,main,1143,1143,O_____________,11,258
2017026S16127,2017,2,SI,WA,NOT_NAMED,1/31/2017 9:00,NR,-21.4276,101.937, , , ,main,1212,1212,P_____________,13,257
